省份,周期,AQI均值
上海市,周期1(9-15日),89.43
上海市,周期2(16-22日),81.43
云南省,周期1(9-15日),65.72
云南省,周期2(16-22日),58.89
内蒙古自治区,周期1(9-15日),81.79
内蒙古自治区,周期2(16-22日),89.01
北京市,周期1(9-15日),71.86
北京市,周期2(16-22日),67.86
吉林省,周期1(9-15日),62.46
吉林省,周期2(16-22日),58.9
四川省,周期1(9-15日),119.61
四川省,周期2(16-22日),85.35
天津市,周期1(9-15日),82.14
天津市,周期2(16-22日),75.14
宁夏回族自治区,周期1(9-15日),170.4
宁夏回族自治区,周期2(16-22日),141.37
安徽省,周期1(9-15日),103.85
安徽省,周期2(16-22日),83.55
山东省,周期1(9-15日),86.23
山东省,周期2(16-22日),81.9
山西省,周期1(9-15日),104.12
山西省,周期2(16-22日),101.04
广东省,周期1(9-15日),94.57
广东省,周期2(16-22日),54.52
广西壮族自治区,周期1(9-15日),102.33
广西壮族自治区,周期2(16-22日),67.54
新疆维吾尔自治区,周期1(9-15日),129.38
新疆维吾尔自治区,周期2(16-22日),145.42
江苏省,周期1(9-15日),94.79
江苏省,周期2(16-22日),88.4
江西省,周期1(9-15日),102.96
江西省,周期2(16-22日),54.04
河北省,周期1(9-15日),83.22
河北省,周期2(16-22日),77.38
河南省,周期1(9-15日),130.29
河南省,周期2(16-22日),91.41
浙江省,周期1(9-15日),94.73
浙江省,周期2(16-22日),73.88
海南省,周期1(9-15日),76.62
海南省,周期2(16-22日),54.86
湖北省,周期1(9-15日),112.57
湖北省,周期2(16-22日),79.12
湖南省,周期1(9-15日),112.42
湖南省,周期2(16-22日),63.47
甘肃省,周期1(9-15日),146.65
甘肃省,周期2(16-22日),113.23
福建省,周期1(9-15日),78.11
福建省,周期2(16-22日),61.6
西藏自治区,周期1(9-15日),71.16
西藏自治区,周期2(16-22日),68.61
贵州省,周期1(9-15日),86.81
贵州省,周期2(16-22日),69.67
辽宁省,周期1(9-15日),60.6
辽宁省,周期2(16-22日),62.86
重庆市,周期1(9-15日),128.86
重庆市,周期2(16-22日),86.71
陕西省,周期1(9-15日),155.89
陕西省,周期2(16-22日),106.97
青海省,周期1(9-15日),63.68
青海省,周期2(16-22日),83.45
黑龙江省,周期1(9-15日),67.38
黑龙江省,周期2(16-22日),57.58
